user_id,name,city,membership,order_id,restaurant_id,order_date,total_amount,restaurant_name,cuisine,rating,month
1,User_1,Chennai,Regular,5767.0,375.0,2023-07-12,1289.66,Hotel Delights Multicuisine,Chinese,4.3,7.0
2,User_2,Pune,Gold,385.0,121.0,2023-03-04,1082.71,Sri Delights Non-Veg,Indian,4.1,3.0
2,User_2,Pune,Gold,1544.0,252.0,2023-08-03,529.9,New Eatery South Indian,Indian,3.7,8.0
2,User_2,Pune,Gold,1683.0,333.0,2023-12-05,505.71,Amma Mess Multicuisine,Chinese,3.1,12.0
2,User_2,Pune,Gold,1697.0,289.0,2023-07-07,588.06,Sri Biryani Punjabi,Italian,4.8,7.0
2,User_2,Pune,Gold,1892.0,245.0,2023-06-06,141.17,Classic Biryani North Indian,Mexican,3.5,6.0
2,User_2,Pune,Gold,5721.0,127.0,2023-07-07,921.37,Hotel Eatery Family Restaurant,Chinese,5.0,7.0
2,User_2,Pune,Gold,7177.0,93.0,2023-11-13,670.67,Swagath Cafe Multicuisine,Chinese,4.9,11.0
2,User_2,Pune,Gold,7795.0,71.0,2023-01-03,957.85,New Dhaba Non-Veg,Indian,3.7,1.0
2,User_2,Pune,Gold,8580.0,358.0,2023-02-02,796.35,Udupi Cafe North Indian,Indian,5.0,2.0
2,User_2,Pune,Gold,8895.0,232.0,2023-11-27,1370.33,New Dhaba Family Restaurant,Mexican,4.0,11.0
3,User_3,Bangalore,Gold,3979.0,87.0,2023-03-29,407.85,Hotel Curry House Non-Veg,Mexican,3.8,3.0
3,User_3,Bangalore,Gold,4497.0,16.0,2023-10-16,1431.66,Sai Mess Andhra,Indian,4.6,10.0
4,User_4,Bangalore,Regular,287.0,449.0,2023-09-26,1010.1,Sai Restaurant South Indian,Indian,4.5,9.0
4,User_4,Bangalore,Regular,3020.0,236.0,2023-01-17,1072.58,Hotel Eatery Non-Veg,Italian,4.2,1.0
4,User_4,Bangalore,Regular,7851.0,211.0,2023-11-26,677.23,Darbar Mess Multicuisine,Chinese,3.1,11.0
4,User_4,Bangalore,Regular,9170.0,439.0,2023-07-28,981.25,Classic Cafe Family Restaurant,Mexican,3.1,7.0
5,User_5,Pune,Gold,1909.0,149.0,2023-06-13,102.82,Amma Restaurant South Indian,Mexican,3.6,6.0
5,User_5,Pune,Gold,6773.0,168.0,2023-05-19,1449.16,Ruchi Foods Family Restaurant,Indian,3.7,5.0
5,User_5,Pune,Gold,6819.0,316.0,2023-04-21,1326.45,Darbar Tiffins Andhra,Chinese,4.8,4.0
5,User_5,Pune,Gold,9268.0,317.0,2023-11-01,1369.19,Darbar Cafe Pure Veg,Mexican,3.5,11.0
5,User_5,Pune,Gold,9672.0,65.0,2023-05-30,1495.26,Grand Eatery Non-Veg,Mexican,3.2,5.0
6,User_6,Pune,Gold,1252.0,457.0,2023-10-04,1403.88,Sai Delights Multicuisine,Indian,3.0,10.0
6,User_6,Pune,Gold,4012.0,210.0,2023-06-16,960.71,Annapurna Restaurant South Indian,Indian,4.7,6.0
6,User_6,Pune,Gold,9266.0,251.0,2023-05-25,1363.64,Grand Curry House Andhra,Chinese,3.9,5.0
7,User_7,Chennai,Gold,1466.0,498.0,2023-05-08,586.99,Darbar Tiffins Non-Veg,Chinese,3.9,5.0
7,User_7,Chennai,Gold,1519.0,408.0,2023-11-19,635.25,Darbar Eatery Family Restaurant,Mexican,3.0,11.0
7,User_7,Chennai,Gold,1768.0,88.0,2023-07-17,1109.9,Ruchi Eatery North Indian,Indian,4.8,7.0
7,User_7,Chennai,Gold,3698.0,466.0,2023-11-13,1444.92,Sai Cafe South Indian,Italian,4.9,11.0
7,User_7,Chennai,Gold,4713.0,356.0,2023-06-14,1398.05,Hotel Foods Multicuisine,Indian,4.2,6.0
