order_id,user_id,restaurant_id,order_date,total_amount,restaurant_name
1,4259,155,2023-08-17,1368.07,Amma Tiffins South Indian
2,3455,237,2023-01-08,1795.26,Amma Restaurant South Indian
3,1078,133,2023-08-02,1070.28,Spice Kitchen Punjabi
4,3130,245,2023-08-14,145.97,Spice Mess Andhra
5,2058,192,2023-05-10,762.09,Tandoori Junction
6,1345,201,2023-06-23,818.65,Grand Cafe Punjabi
7,3644,242,2023-06-14,1648.53,New Foods Chinese
8,4162,139,2023-08-10,359.79,Amma Tiffins South Indian
9,4952,249,2023-12-22,878.46,Bombay Spice Villa
10,4777,187,2023-12-18,909.19,Udupi Curry House South Indian
11,3598,158,2023-04-05,1416.63,Spice Mess Punjabi
12,4024,294,2023-02-04,902.55,Darbar Mess Pure Veg
13,4854,282,2023-08-05,823.48,Masala Trail Multicuisine
14,1007,111,2023-09-11,607.79,Royal Eatery South Indian
15,1418,211,2023-07-12,469.55,Royal Tiffins Multicuisine
16,4205,267,2023-03-17,1530.76,Amma Delights Family Restaurant
17,1294,149,2023-11-09,683.66,Sri Tiffins Andhra
18,1188,177,2023-12-12,1024.82,FoodHub Express
19,1330,267,2023-01-18,1564.83,Amma Tiffins South Indian
20,1259,269,2023-04-13,1335.96,Biryani Brothers
21,2167,107,2023-10-14,641.93,Ruchi Foods South Indian
22,1997,243,2023-08-04,1581.13,Masala Trail Multicuisine
23,2006,113,2023-10-08,1554.38,Chef’s Delight Kitchen
24,2149,155,2023-02-25,320.28,New Cafe North Indian
25,4249,205,2023-10-05,1520.68,Taste of Biryani Non-Veg
26,4750,297,2023-01-16,963.35,Punjabi Zaika House
27,3336,193,2023-05-04,1697.72,Sri Tiffins Andhra
28,4770,267,2023-12-24,559.99,Ruchi Curry House Multicuisine
29,3623,262,2023-12-23,262.93,Spice Mess Andhra
30,4154,185,2023-10-14,1676.38,Royal Masala Point
31,3815,179,2023-10-05,355.35,Royal Biryani North Indian
32,1732,207,2023-12-20,1202.04,Chef’s Delight Kitchen
33,3992,133,2023-10-09,111.56,Urban Biryani House
34,4158,143,2023-08-01,1064.57,Amma Restaurant South Indian
35,4053,284,2023-12-18,1304.1,Flavour Street Kitchen
36,4335,240,2023-09-03,1080.99,Sri Tiffins Andhra
37,1052,270,2023-08-02,836.55,Tandoori Junction
38,1546,144,2023-08-05,836.49,Biryani Brothers
39,2063,163,2023-10-12,258.98,Punjabi Zaika House
40,3679,165,2023-06-17,1011.0,Spice Mess Punjabi
41,4537,207,2023-12-25,1004.53,Spice Mess Punjabi
42,3619,219,2023-04-06,1045.22,Masala Trail Multicuisine
43,4030,240,2023-07-03,183.24,Royal Eatery South Indian
44,3947,254,2023-06-26,672.51,Annapurna Kitchen Family Restaurant
45,3622,193,2023-04-05,1147.89,Annapurna Kitchen Family Restaurant
46,1370,161,2023-02-17,861.31,Ruchi Foods Chinese
47,3459,285,2023-08-06,160.61,Chef’s Delight Kitchen
48,1217,237,2023-11-27,1323.6,Royal Biryani North Indian
49,2539,255,2023-01-17,1243.79,Royal Biryani North Indian
50,3750,192,2023-12-16,1051.4,Sri Tiffins Andhra
51,3323,127,2023-05-19,694.62,Ruchi Curry House Multicuisine
52,4345,255,2023-10-22,1239.05,Darbar Delights South Indian
53,3102,234,2023-09-11,1306.5,Bombay Spice Villa
54,2455,180,2023-02-12,1271.76,Grand Cafe Punjabi
55,4040,159,2023-05-10,1795.04,Masala Trail Multicuisine
56,2657,178,2023-01-07,1156.28,New Foods Chinese
57,3521,281,2023-12-02,209.72,Ruchi Foods Chinese
58,2396,195,2023-09-15,1507.83,FoodHub Express
59,2414,261,2023-05-12,170.98,Spice Mess Punjabi
60,4810,144,2023-08-16,971.77,Darbar Mess Pure Veg
61,3390,258,2023-04-19,1159.22,Biryani Brothers
62,3286,225,2023-01-14,785.2,Darbar Mess Pure Veg
63,3825,192,2023-08-14,915.05,Annapurna Tiffins South Indian
64,2217,223,2023-11-09,1767.01,Amma Kitchen Punjabi
65,3976,103,2023-11-09,1782.9,Punjabi Zaika House
66,1260,231,2023-12-03,367.69,Annapurna Tiffins South Indian
67,1943,204,2023-12-04,1186.17,Darbar Delights South Indian
68,4112,116,2023-04-06,9928.81,Tandoori Junction
69,3192,214,2023-09-20,7648.85,Punjabi Zaika House
70,1104,250,2023-04-19,539.34,Spice Mess Punjabi
71,3903,105,2023-12-10,983.9,Darbar Delights South Indian
72,3125,143,2023-08-04,1005.04,Amma Biryani North Indian
